player_id,player,season,team,pos,age,experience,games,games_started,min_per_game,pts,reb,ast,stl,blk,tov,fg_pct,fg3_pct,ft_pct,per,ts_pct,usg_pct,bpm,vorp,ws,ws_48,salary,instagram_followers,twitter_followers,jersey_rank,marketability,is_star,war,performance_value,commercial_value,total_value
75CKGBLM,Cameron Underwood,2019,ATL,F,28,6,31,25,31.6,23.0,15.7,7.1,1.7,0.9,1.9,0.477,0.322,0.829,40.0,0.545,27.9,9.0,17.5,1.5,7.191,198441.0,23739,15108,43,3.3,False,6.6,1980000.0,715364.0,1221218.4
2F0QLYB7,Tierra Clark,2019,ATL,C,25,3,29,25,29.5,17.5,11.9,1.8,0.6,2.0,3.5,0.431,0.25,0.728,29.8,0.464,24.5,5.2,8.8,0.7,3.853,60000.0,30978,12434,147,2.1,False,3.77,1131000.0,18623.0,463573.8
DHIY9Z6K,Ximena Young,2019,ATL,C,24,2,29,28,31.7,11.4,15.4,2.3,0.7,1.6,3.3,0.498,0.179,0.601,26.7,0.546,25.6,4.1,7.6,0.8,4.089,144051.0,23647,11050,136,2.5,False,3.44,1032000.0,76735.0,458841.0
C2AFLRPF,Whitney Vaughn,2019,ATL,G,30,8,29,26,28.5,22.5,6.7,10.4,2.4,0.6,2.8,0.43,0.332,0.949,40.0,0.464,18.0,7.6,12.5,1.1,6.414,66343.0,45127,7979,79,4.0,False,4.86,1458000.0,580248.0,931348.8
5IPHEYA2,Elena Lewis,2019,ATL,F,32,10,27,25,32.5,25.1,15.1,4.7,1.2,1.9,1.9,0.424,0.318,0.707,40.0,0.497,29.2,8.0,14.0,1.1,6.25,133172.0,30494,2559,36,4.0,False,5.38,1614000.0,922644.0,1199186.4
J0YB8ZS8,Kayla Smith,2019,ATL,F-C,23,1,27,4,12.7,4.6,6.6,1.2,0.6,0.9,2.2,0.483,0.213,0.718,27.3,0.543,20.3,5.1,3.5,0.3,3.826,60000.0,19501,9771,70,5.0,False,1.49,447000.0,812927.0,666556.2
DT0GFC8V,Kianna Evans,2019,ATL,F,24,2,24,5,14.2,14.1,5.4,2.7,0.8,0.6,1.9,0.46,0.365,0.715,40.0,0.53,16.9,8.1,5.5,0.5,7.158,127343.0,41491,10200,100,5.9,False,2.11,633000.0,607900.0,617940.0
HERECTBH,Yolanda Carter,2019,ATL,C,28,6,25,6,13.6,6.3,10.9,1.3,0.5,1.6,1.2,0.453,0.235,0.658,40.0,0.514,26.0,8.2,5.6,0.4,5.972,152781.0,19601,4743,125,6.0,False,2.12,636000.0,314921.0,443352.6
07UG9LTI,Paris Irving,2019,ATL,F,24,2,28,0,10.3,10.7,5.8,2.3,0.7,0.5,2.6,0.435,0.265,0.846,40.0,0.507,28.9,8.4,4.8,0.4,6.921,126388.0,10281,7311,66,3.3,False,1.84,552000.0,562161.0,558096.6
NLRFTT5X,Lexie Foster,2019,ATL,G,24,2,15,0,23.3,10.7,2.4,4.9,1.1,0.2,1.1,0.419,0.392,0.86,24.2,0.461,22.4,2.7,1.9,0.3,3.568,108312.0,19785,10127,71,3.6,False,1.01,303000.0,578154.0,468092.39999999997
